Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,K,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated,Code Size
AlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,59.440 ns,0.2222 ns,0.2079 ns,0.0537 ns,59.106 ns,59.288 ns,59.417 ns,59.558 ns,59.826 ns,"16,823,582.7",1.22,0.01,0.0000,0.0000,0.0000,0 B,342 B
SpansOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,99.154 ns,0.5216 ns,0.4880 ns,0.1260 ns,98.289 ns,98.849 ns,99.240 ns,99.425 ns,100.229 ns,"10,085,277.6",2.04,0.02,0.0000,0.0000,0.0000,0 B,533 B
ScalarOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,114.303 ns,0.1892 ns,0.1677 ns,0.0448 ns,113.971 ns,114.215 ns,114.354 ns,114.389 ns,114.613 ns,"8,748,651.6",2.35,0.02,0.0000,0.0000,0.0000,0 B,435 B
AlignedIn,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,68.793 ns,0.3567 ns,0.3162 ns,0.0845 ns,68.290 ns,68.517 ns,68.927 ns,69.057 ns,69.183 ns,"14,536,344.3",1.42,0.01,0.0000,0.0000,0.0000,0 B,374 B
NotAlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,46.539 ns,0.1671 ns,0.1563 ns,0.0403 ns,46.351 ns,46.419 ns,46.489 ns,46.625 ns,46.845 ns,"21,487,351.8",0.96,0.01,0.0000,0.0000,0.0000,0 B,469 B
AlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,44.026 ns,0.1173 ns,0.1098 ns,0.0283 ns,43.792 ns,43.966 ns,44.034 ns,44.112 ns,44.171 ns,"22,713,885.9",0.91,0.01,0.0000,0.0000,0.0000,0 B,225 B
SpansOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,39.183 ns,0.1489 ns,0.1392 ns,0.0360 ns,38.959 ns,39.074 ns,39.193 ns,39.292 ns,39.391 ns,"25,521,300.2",0.81,0.01,0.0000,0.0000,0.0000,0 B,284 B
ScalarOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,86.839 ns,0.2375 ns,0.2222 ns,0.0574 ns,86.521 ns,86.656 ns,86.856 ns,86.947 ns,87.274 ns,"11,515,570.8",1.79,0.02,0.0000,0.0000,0.0000,0 B,356 B
AlignedIn,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,30.448 ns,0.6159 ns,0.7332 ns,0.1600 ns,29.312 ns,30.046 ns,30.258 ns,30.911 ns,32.238 ns,"32,842,413.3",0.63,0.02,0.0000,0.0000,0.0000,0 B,197 B
NotAlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,48.619 ns,0.4356 ns,0.4075 ns,0.1052 ns,48.006 ns,48.270 ns,48.627 ns,48.953 ns,49.201 ns,"20,567,887.9",1.00,0.00,0.0000,0.0000,0.0000,0 B,457 B
AlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,43.979 ns,0.1127 ns,0.0999 ns,0.0267 ns,43.833 ns,43.902 ns,43.977 ns,44.026 ns,44.178 ns,"22,738,113.9",0.90,0.01,0.0000,0.0000,0.0000,0 B,220 B
SpansOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,25.564 ns,0.1149 ns,0.1018 ns,0.0272 ns,25.374 ns,25.510 ns,25.581 ns,25.630 ns,25.746 ns,"39,118,249.7",0.53,0.01,0.0000,0.0000,0.0000,0 B,277 B
ScalarOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,31.186 ns,0.0970 ns,0.0908 ns,0.0234 ns,31.062 ns,31.127 ns,31.165 ns,31.264 ns,31.324 ns,"32,065,816.7",0.64,0.01,0.0000,0.0000,0.0000,0 B,220 B
AlignedIn,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,24.913 ns,0.0782 ns,0.0731 ns,0.0189 ns,24.784 ns,24.858 ns,24.924 ns,24.958 ns,25.028 ns,"40,138,989.4",0.51,0.00,0.0000,0.0000,0.0000,0 B,190 B
